89765,5432,231,789
102345,6543,289,901
123456,7654,345,1023
111234,6890,312,956
134567,8765,401,1123
98765,5987,276,845
109876,7012,354,1056
125678,8123,421,1189
114567,7234,333,990
136789,9012,456,1234
95678,5765,260,812
107890,7345,367,1087
128901,8456,489,1265
117654,7567,345,1021
139012,9234,498,1290
92345,5554,245,790
104567,7678,378,1112
122345,8567,444,1201
113456,7789,356,1054
135678,9345,501,1323
97654,5890,281,865
109012,7890,390,1145
124567,8890,472,1278
116543,7901,367,1034
137890,9567,512,1356
94567,5678,254,823
106789,7987,389,1176
121234,8765,432,1223
112345,7890,345,1011
133456,9678,523,1389
91234,5432,230,778
103456,7765,376,1101
126789,8901,465,1254
115432,7654,333,1002
138901,9789,534,1412
96456,5901,277,854
108901,7801,398,1165
123456,8654,444,1211
111123,7543,321,987
132345,9432,509,1345
93210,5543,244,789
105678,7654,367,1123
125678,8765,456,1289
114321,7432,311,976
134567,9543,521,1390
98760,5890,288,860
109876,7901,401,1180
127890,8890,477,1290
